GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US420030103001000,420030103001000,"Block 1000, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001001,420030103001001,"Block 1001, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001002,420030103001002,"Block 1002, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001003,420030103001003,"Block 1003, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001004,420030103001004,"Block 1004, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001005,420030103001005,"Block 1005, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001006,420030103001006,"Block 1006, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001007,420030103001007,"Block 1007, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001008,420030103001008,"Block 1008, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001009,420030103001009,"Block 1009, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001010,420030103001010,"Block 1010, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001011,420030103001011,"Block 1011, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001012,420030103001012,"Block 1012, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001013,420030103001013,"Block 1013, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001014,420030103001014,"Block 1014, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001015,420030103001015,"Block 1015, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001016,420030103001016,"Block 1016, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001017,420030103001017,"Block 1017, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001018,420030103001018,"Block 1018, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001019,420030103001019,"Block 1019, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001020,420030103001020,"Block 1020, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001021,420030103001021,"Block 1021, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001022,420030103001022,"Block 1022, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001023,420030103001023,"Block 1023, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001024,420030103001024,"Block 1024, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001025,420030103001025,"Block 1025, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001026,420030103001026,"Block 1026, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001027,420030103001027,"Block 1027, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001028,420030103001028,"Block 1028, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001029,420030103001029,"Block 1029, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001030,420030103001030,"Block 1030, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103001031,420030103001031,"Block 1031, Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002000,420030103002000,"Block 2000, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002001,420030103002001,"Block 2001, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002002,420030103002002,"Block 2002, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",1
1000000US420030103002003,420030103002003,"Block 2003, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002004,420030103002004,"Block 2004, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002005,420030103002005,"Block 2005, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002006,420030103002006,"Block 2006, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002007,420030103002007,"Block 2007, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002008,420030103002008,"Block 2008, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002009,420030103002009,"Block 2009, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002010,420030103002010,"Block 2010, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002011,420030103002011,"Block 2011, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002012,420030103002012,"Block 2012, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002013,420030103002013,"Block 2013, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002014,420030103002014,"Block 2014, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002015,420030103002015,"Block 2015, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002016,420030103002016,"Block 2016, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002017,420030103002017,"Block 2017, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002018,420030103002018,"Block 2018, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002019,420030103002019,"Block 2019, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002020,420030103002020,"Block 2020, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103002021,420030103002021,"Block 2021, Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003000,420030103003000,"Block 3000, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003001,420030103003001,"Block 3001, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",2
1000000US420030103003002,420030103003002,"Block 3002, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",2
1000000US420030103003003,420030103003003,"Block 3003, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",7
1000000US420030103003004,420030103003004,"Block 3004, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003005,420030103003005,"Block 3005, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003006,420030103003006,"Block 3006, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",11
1000000US420030103003007,420030103003007,"Block 3007, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",30
1000000US420030103003008,420030103003008,"Block 3008, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",30
1000000US420030103003009,420030103003009,"Block 3009, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",10
1000000US420030103003010,420030103003010,"Block 3010, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",22
1000000US420030103003011,420030103003011,"Block 3011, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003012,420030103003012,"Block 3012, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003013,420030103003013,"Block 3013, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003014,420030103003014,"Block 3014, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103003015,420030103003015,"Block 3015, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",30
1000000US420030103003016,420030103003016,"Block 3016, Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",23
