CENSUS CODE,TRACT,BLOCK GRP,HOOD,POP,POP18+,%POP18+,WHITE,WHITE18+,BLACK,BLACK18+,ASIAN,ASIAN18+,OTHER,OTHER18+,HISPANIC,HISPAN18+,ONERACE,ONERACE18+,2+RACES+,2+RACES18+,%WHITE,%WHITE18+,%BLACK,%BLACK18+,%ASIAN,%ASIAN18+,%OTHER,%OTHER18+,%HISPANIC,%HISP18+,%ONERACE,%ONERACE18+,%2+RACES,%2+RACES18+,# HOUS UNITS,OCCUP,VACANT,%OCCUP,%VAC
420035627002,5627,002,Allegheny Center,933,769,82.4%,381,361,453,330,56,51,6,6,27,19,896,748,37,16,40.8%,46.9%,48.6%,42.9%,6.0%,6.6%,0.6%,0.8%,2.9%,2.5%,96.0%,97.3%,4.0%,2.1%,1052,542,510,51.5%,48.5%
420035627001,5627,001,Allegheny West,462,426,92.2%,354,331,84,76,7,7,3,2,13,12,448,416,14,7,76.6%,77.7%,18.2%,17.8%,1.5%,1.6%,0.6%,0.5%,2.8%,2.8%,97.0%,97.7%,3.0%,1.6%,355,266,89,74.9%,25.1%
420031803001,1803,001,Allentown,1098,849,77.3%,684,584,357,240,0,0,12,8,16,14,1053,832,45,12,62.3%,68.8%,32.5%,28.3%,0.0%,0.0%,1.1%,0.9%,1.5%,1.6%,95.9%,98.0%,4.1%,1.4%,628,515,113,82.0%,18.0%
420031803002,1803,002,Allentown,666,466,70.0%,376,303,254,150,1,1,5,4,26,14,636,458,30,5,56.5%,65.0%,38.1%,32.2%,0.2%,0.2%,0.8%,0.9%,3.9%,3.0%,95.5%,98.3%,4.5%,1.1%,318,244,74,76.7%,23.3%
420031803003,1803,003,Allentown,736,525,71.3%,425,351,267,166,0,0,3,3,16,13,695,520,41,5,57.7%,66.9%,36.3%,31.6%,0.0%,0.0%,0.4%,0.6%,2.2%,2.5%,94.4%,99.0%,5.6%,1.0%,345,274,71,79.4%,20.6%
420035616002,5616,002,Arlington,737,586,79.5%,602,502,116,71,2,2,2,1,12,10,722,576,15,10,81.7%,85.7%,15.7%,12.1%,0.3%,0.3%,0.3%,0.2%,1.6%,1.7%,98.0%,98.3%,2.0%,1.7%,350,302,48,86.3%,13.7%
420035616003,5616,003,Arlington,545,437,80.2%,405,346,122,82,0,0,4,1,2,1,531,429,14,8,74.3%,79.2%,22.4%,18.8%,0.0%,0.0%,0.7%,0.2%,0.4%,0.2%,97.4%,98.2%,2.6%,1.8%,288,254,34,88.2%,11.8%
420035616004,5616,004,Arlington,587,422,71.9%,422,329,133,79,1,1,1,1,13,7,557,410,30,10,71.9%,78.0%,22.7%,18.7%,0.2%,0.2%,0.2%,0.2%,2.2%,1.7%,94.9%,97.2%,5.1%,2.4%,248,211,37,85.1%,14.9%
420035616001,5616,001,Arlington Heights,244,171,70.1%,23,21,205,142,0,0,4,2,2,2,232,165,12,4,9.4%,12.3%,84.0%,83.0%,0.0%,0.0%,1.6%,1.2%,0.8%,1.2%,95.1%,96.5%,4.9%,2.3%,148,135,13,91.2%,8.8%
420032023001,2023,001,Banksville,792,725,91.5%,602,563,66,57,113,96,3,1,14,11,784,717,8,8,76.0%,77.7%,8.3%,7.9%,14.3%,13.2%,0.4%,0.1%,1.8%,1.5%,99.0%,98.9%,1.0%,1.1%,488,456,32,93.4%,6.6%
