lat,lon,num_tweets,num_users
40.64,-80.05,217,48
40.47,-80.04,4760,245
40.27,-80.19,1367,91
40.54,-80.14,23,5
40.25,-79.86,4973,96
40.56,-80.04,599,126
40.4,-80.16,48,21
40.63,-79.85,696,35
40.49,-80.06,4508,321
40.52,-80.19,4634,116
40.31,-80.14,96,21
40.25,-79.94,13,8
40.41,-79.89,597,247
40.26,-79.96,5,4
40.42,-80.08,226,130
40.43,-80.2,51,16
40.62,-80.19,39,17
40.24,-79.87,18,17
40.36,-80.2,1,1
40.53,-79.97,838,100
40.37,-80.08,4007,154
40.4,-80.12,8,5
40.42,-80.1,905,508
40.29,-79.84,139,61
40.47,-80.08,3303,151
40.53,-79.93,12,4
40.6,-79.87,58,18
40.51,-80.2,137,34
40.62,-80.08,430,65
40.45,-80.2,729,84
40.51,-80.01,694,206
40.58,-80.15,4,3
40.35,-80.02,653,214
40.25,-79.89,44,8
40.51,-80.02,991,117
40.6,-80.06,486,49
40.37,-80.05,1334,353
40.28,-79.83,112,33
40.31,-80.11,380,47
40.25,-80.18,1016,113
40.6,-79.9,29,18
40.34,-79.88,5537,107
40.25,-80.12,289,37
40.42,-79.91,637,94
40.24,-80.06,8,7
40.44,-79.88,3867,425
40.41,-80.08,3295,590
40.28,-80.05,81,27
40.57,-79.87,117,11
40.4,-80.2,14,6
40.47,-79.89,1475,49
40.5,-79.85,2343,106
40.41,-79.93,1240,83
40.42,-80.03,4831,749
40.31,-80.05,2784,133
40.31,-79.89,874,131
40.49,-79.89,4388,1051
40.28,-79.93,195,57
40.57,-79.95,516,93
40.59,-80.17,43,6
40.43,-80.02,1932,571
40.63,-79.93,538,93
40.42,-80.15,34,11
40.45,-80.04,2076,123
40.32,-80.01,244,90
40.29,-79.97,883,29
40.61,-79.94,337,79
40.29,-79.9,2278,60
40.48,-79.93,4481,240
40.47,-79.97,1802,455
40.48,-80.04,4285,452
40.36,-79.8,122,5
40.5,-80.06,7401,373
40.28,-79.85,96,31
40.32,-80.1,225,29
40.36,-80.08,1288,109
40.3,-80.12,141,43
40.31,-79.92,252,50
40.38,-79.98,13106,484
40.55,-80.13,7,6
40.51,-79.9,161,34
40.57,-80.08,365,34
40.39,-80.0,16308,468
40.49,-80.05,6169,300
40.33,-80.16,4,3
40.24,-80.16,4,4
40.59,-79.82,471,21
40.34,-79.91,511,72
40.3,-80.05,2034,94
40.56,-79.96,640,130
40.53,-80.03,1245,135
40.39,-79.85,156,38
40.24,-79.96,9,4
40.44,-79.93,2840,422
40.58,-79.81,15,5
40.64,-80.04,197,27
40.48,-79.96,1853,532
40.34,-80.14,418,93
40.53,-79.8,96,10
40.62,-79.88,23,13
40.41,-80.14,219,12
40.43,-80.01,15751,2596
40.53,-80.1,28,13
40.59,-80.07,223,27
40.46,-79.89,4656,185
40.34,-80.2,3,2
40.54,-79.98,1665,97
40.37,-80.11,2014,764
40.24,-80.11,1,1
40.55,-80.15,41,17
40.36,-79.97,4759,181
40.61,-80.19,141,22
40.41,-80.1,1003,125
40.59,-80.19,53,5
40.36,-80.09,761,121
40.51,-79.84,2891,306
40.53,-80.13,197,110
40.37,-79.99,4730,151
40.46,-79.97,4765,1205
40.39,-80.06,2096,445
40.4,-80.0,2165,444
40.44,-79.87,5079,383
40.62,-80.18,17,3
40.49,-79.83,3190,71
40.53,-80.06,136,60
40.38,-79.9,6166,156
40.42,-80.09,1350,398
40.56,-79.91,56,18
40.26,-80.12,1268,33
40.57,-79.84,763,24
40.4,-79.98,3838,137
40.42,-80.11,339,267
40.62,-79.92,3562,77
40.49,-79.9,4758,539
40.36,-79.89,958,29
40.33,-79.97,1870,101
40.64,-79.85,81,19
40.39,-79.87,2751,863
40.45,-79.82,398,65
40.34,-80.12,2054,208
40.48,-79.95,7403,527
40.53,-79.94,135,41
40.45,-79.83,1526,172
40.35,-79.86,2580,216
40.59,-79.91,51,38
40.4,-79.83,5030,152
40.24,-80.08,9,8
40.63,-80.15,54,6
40.45,-79.91,6516,557
40.47,-80.06,2417,319
40.56,-80.19,21,6
40.63,-79.86,495,53
40.29,-79.94,31,18
40.39,-80.17,29,9
40.39,-79.93,334,182
40.3,-79.91,257,46
40.59,-80.01,137,55
40.56,-80.02,2592,455
40.54,-79.85,73,26
40.36,-79.94,34,30
40.32,-79.98,1194,61
40.55,-79.9,136,40
40.59,-79.97,345,69
40.53,-80.04,2509,183
40.54,-79.83,1230,376
40.55,-80.06,1627,38
40.61,-80.14,45,15
40.26,-79.85,441,73
40.52,-80.14,163,81
40.52,-80.1,423,13
40.57,-80.0,1164,209
40.35,-80.03,3435,298
40.56,-79.88,12,6
40.27,-80.01,2233,73
40.63,-80.12,4,1
40.49,-80.04,3782,174
40.6,-79.97,470,39
40.45,-79.88,3062,125
40.35,-79.93,2536,205
40.62,-80.13,3,2
40.24,-80.1,1,1
40.51,-80.08,4782,90
40.58,-80.1,201,132
40.44,-79.96,137363,6656
40.36,-79.91,1534,168
40.41,-80.13,3,3
40.52,-80.07,1197,359
40.25,-79.92,111,14
40.29,-80.0,3427,141
40.26,-79.81,4,4
40.45,-79.97,7524,344
40.43,-80.06,2759,269
40.28,-79.84,899,154
40.4,-79.84,2683,217
40.27,-79.99,11,9
40.59,-79.83,256,29
40.4,-79.88,3626,242
40.27,-79.84,1395,89
40.5,-80.08,2242,143
40.28,-80.14,212,57
40.46,-80.06,2128,154
40.56,-80.01,3272,175
40.58,-80.04,1597,174
40.29,-80.04,813,45
40.52,-80.02,2631,269
40.33,-79.98,99,57
40.42,-79.82,899,64
40.48,-79.86,316,92
40.28,-80.2,433,31
40.56,-79.98,181,37
40.52,-79.96,4941,190
40.42,-79.94,5555,190
40.25,-79.93,178,25
40.27,-79.98,15,12
40.36,-79.88,920,71
40.63,-80.06,2196,689
40.38,-79.92,604,81
40.43,-79.83,2507,98
40.48,-79.88,87,51
40.33,-80.15,2,2
40.4,-80.15,98,16
40.31,-79.84,52,7
40.62,-80.09,721,343
40.37,-80.12,1003,228
40.48,-79.84,868,116
40.26,-80.04,230,21
40.54,-79.93,250,29
40.25,-80.09,67,13
40.48,-80.15,152,20
40.6,-80.16,4,2
40.37,-79.93,1389,137
40.27,-79.95,195,11
40.64,-80.09,61,19
40.28,-79.89,174,82
40.64,-80.12,13,4
40.31,-80.07,1021,121
40.4,-80.17,23,12
40.55,-80.18,78,19
40.26,-80.03,41,4
40.62,-80.12,6,5
40.48,-80.0,1317,86
40.32,-80.2,262,37
40.52,-79.93,155,24
40.37,-79.83,1366,95
40.5,-80.07,5773,275
40.57,-79.89,24,12
40.29,-80.1,190,85
40.37,-80.18,438,34
40.47,-79.87,1814,74
40.29,-80.02,738,137
40.4,-80.05,3748,262
40.32,-79.82,1512,120
40.42,-80.0,11524,360
40.26,-79.82,4,4
40.56,-79.85,377,100
40.41,-79.87,3962,170
40.63,-79.92,1868,56
40.33,-79.9,359,46
40.6,-80.02,54,27
40.5,-80.14,191,82
40.49,-80.2,190,33
40.43,-79.94,5345,962
40.26,-80.02,7,5
40.41,-80.06,3090,248
40.31,-80.04,887,89
40.6,-80.17,24,5
40.53,-80.15,11,4
40.51,-79.83,808,48
40.31,-80.12,732,33
40.29,-80.01,334,71
40.61,-80.0,17,11
40.41,-79.83,23681,199
40.26,-79.91,26,17
40.41,-80.18,740,21
40.37,-79.8,1245,45
40.37,-79.98,10185,638
40.64,-80.11,104,7
40.53,-79.85,448,203
40.35,-80.19,5,4
40.55,-80.1,933,76
40.64,-80.0,83,61
40.5,-80.1,46,31
40.5,-80.18,290,49
40.46,-80.14,323,86
40.39,-79.82,1073,225
40.59,-79.99,226,102
40.26,-80.17,2106,464
40.58,-80.13,124,7
40.58,-80.05,3343,62
40.45,-80.16,10641,2719
40.26,-79.93,48,9
40.57,-80.13,9,6
40.63,-80.2,171,16
40.34,-80.01,302,115
40.4,-80.04,8786,719
40.45,-79.96,20817,1351
40.27,-79.85,345,61
40.45,-80.09,70,24
40.39,-80.05,4777,506
40.64,-80.06,397,112
40.41,-79.88,1329,223
40.58,-79.89,329,34
40.58,-79.83,734,4
40.45,-80.17,4634,1963
40.43,-80.17,1,1
40.34,-80.13,405,248
40.29,-80.14,7,6
40.37,-79.81,330,36
40.28,-79.92,61,40
40.38,-80.14,26,15
40.38,-79.88,3935,159
40.26,-80.15,4720,249
40.55,-79.81,797,81
40.43,-79.92,7230,979
40.64,-80.19,2,1
40.38,-80.17,1084,122
40.43,-80.08,555,61
40.57,-79.9,11,8
40.6,-79.89,21,13
40.42,-80.14,628,17
40.5,-80.12,93,79
40.4,-80.03,6650,689
40.24,-79.81,36,11
40.42,-80.16,1,1
40.41,-80.12,36,9
40.57,-80.16,1,1
40.58,-80.18,5,4
40.26,-79.83,18,4
40.62,-79.98,110,78
40.34,-79.99,2254,214
40.45,-79.84,811,137
40.35,-79.94,1770,500
40.59,-79.94,915,76
40.63,-79.91,27,6
40.63,-80.1,235,176
40.61,-79.98,23,20
40.24,-80.17,11,5
40.61,-80.13,4,4
40.29,-79.95,23,9
40.46,-80.11,1595,136
40.58,-79.96,190,36
40.41,-80.15,212,13
40.3,-80.15,43,27
40.35,-79.83,6289,296
40.54,-80.09,642,37
40.6,-79.99,1366,54
40.38,-79.86,1788,275
40.24,-79.89,3,2
40.24,-79.97,2,2
40.41,-79.82,3923,191
40.25,-80.02,419,34
40.41,-79.92,6256,2075
40.49,-79.87,1013,309
40.3,-79.86,29,11
40.46,-79.86,834,139
40.44,-79.98,9006,2124
40.41,-79.86,1858,104
40.54,-79.99,1668,95
40.4,-80.01,1887,129
40.46,-80.04,223,54
40.51,-79.85,296,138
40.58,-80.19,68,6
40.35,-79.91,3117,133
40.33,-80.09,162,41
40.47,-80.14,1185,102
40.35,-80.08,332,81
40.32,-79.93,468,155
40.58,-79.84,1,1
40.38,-80.2,7,6
40.36,-79.92,12,8
40.25,-79.85,82,49
40.45,-80.02,22294,5452
40.46,-79.8,331,54
40.35,-79.99,1736,174
40.59,-80.16,37,7
40.6,-80.01,270,145
40.55,-79.88,241,33
40.3,-80.07,128,50
40.56,-80.18,14,9
40.45,-80.01,48633,10387
40.3,-79.87,179,36
40.38,-80.16,476,45
40.56,-79.83,183,26
40.31,-79.82,944,74
40.27,-80.09,290,40
40.29,-79.85,23,3
40.31,-79.81,4153,58
40.64,-80.15,4,2
40.6,-79.83,631,38
40.35,-79.8,66,19
40.52,-79.88,465,134
40.32,-80.19,2586,41
40.56,-79.93,122,28
40.6,-80.12,100,25
40.24,-79.84,5,2
40.53,-80.09,52,6
40.32,-80.05,1074,138
40.31,-80.16,209,145
40.56,-80.11,360,58
40.57,-80.07,1208,43
40.48,-80.1,1151,175
40.63,-79.87,155,31
40.49,-80.1,268,39
40.35,-79.82,3100,213
40.38,-80.18,206,28
40.32,-79.88,55,26
40.28,-79.88,1502,107
40.5,-80.02,801,265
40.41,-80.17,5,4
40.29,-80.12,317,113
40.37,-79.97,5522,242
40.38,-79.95,1394,72
40.29,-79.81,1628,47
40.54,-80.05,1572,160
40.39,-79.94,468,84
40.64,-79.82,4,2
40.42,-79.81,851,75
40.31,-80.06,1421,105
40.36,-79.96,4837,179
40.41,-79.96,411,177
