West Deer Township,10,527
Kennedy Township,6,220
Upper Hill,10,244
Elizabeth Township,3,152
West Homestead Borough,19,863
Reserve Township,19,388
Swissvale Borough,10,375
Forest Hills Borough,0,1061
White Oak Borough,0,787
Whitehall Borough,1,879
Lincoln Place,15,304
Hazelwood,13,512
Wilkins Township,1,702
Crafton Heights,1,523
Chateau,16,376
Glen Hazel,17,22
Versailles Borough,19,422
Homewood West,22,1018
Wilkinsburg Borough,19,1384
Bon Air,7,40
Pennsbury Village Borough,1,13
Central Northside,19,450
Morningside,1,366
McKees Rocks Borough,17,544
East Pittsburgh Borough,8,56
Sheraden,11,277
Allegheny Center,16,466
Ross Township,13,4567
Baldwin Borough,4,310
Heidelberg Borough,2,82
Stanton Heights,10,265
East McKeesport Borough,2,72
Squirrel Hill South,10,1289
St. Clair,17,16
North Oakland,5,193
Pennsbury Village Borough,20,197
Fox Chapel Borough,1,158
Central Business District,14,11938
Oakdale Borough,10,47
Point Breeze North,11,211
Sewickley Heights Borough,2,8
Overbrook,21,1874
Braddock Borough,15,247
South Oakland,12,1595
South Park Township,1,962
Aleppo Township,20,63
Arlington,14,145
Bethel Park Borough,19,3121
Lincoln Place,2,184
Lincoln Place,23,612
St. Clair,13,3
Chalfant Borough,12,27
Kennedy Township,1,789
Elizabeth Township,10,1439
Edgeworth Borough,16,86
Cheswick Borough,23,76
Forest Hills Borough,9,395
Stowe Township,21,1023
Oakmont Borough,7,291
Whitehall Borough,14,1317
Rosslyn Farms Borough,12,115
Point Breeze,17,406
Hazelwood,20,694
Wilkins Township,10,1116
Crafton Heights,8,255
Banksville,22,1430
Point Breeze,4,13
Middle Hill,11,190
Brighton Heights,7,367
Brentwood Borough,3,432
Shaler Township,18,3157
Swissvale Borough,2,399
Port Vue Borough,18,466
Upper St. Clair Township,6,210
Haysville Borough,13,5
Sheraden,2,229
Coraopolis Borough,3,65
Baldwin Borough,3,599
California-Kirkbride,20,85
Squirrel Hill South,5,104
Neville Township,4,13
Etna Borough,1,191
Spring Garden,19,60
Franklin Park Borough,19,940
South Shore,16,492
Central Business District,17,10639
Neville Township,15,191
Chartiers City,12,12
Lincoln-Lemington-Belmar,21,603
Edgewood Borough,5,86
Strip District,20,1532
Braddock Borough,22,418
Greenfield,18,850
Perry North,18,1031
Swisshelm Park,18,131
Ben Avon Borough,6,93
Spring Hill-City View,3,35
Larimer,5,34
Allentown,18,131
Bedford Dwellings,17,183
West Oakland,7,423
Elizabeth Township,17,1175
Edgeworth Borough,23,96
Forest Hills Borough,22,1773
White Oak Borough,18,648
Whitehall Borough,23,2055
Pittsburgh,14,747
Wilkins Township,19,1849
Robinson Township,1,890
Brighton Heights,12,757
Hays,23,32
Brentwood Borough,4,182
West Mifflin Borough,19,4066
Braddock Hills Borough,6,76
Plum Borough,21,97
Point Breeze,20,631
Sewickley Hills Borough,10,38
Sheraden,5,11
Allegheny Center,2,93
Baldwin Borough,10,1324
East McKeesport Borough,16,144
Etna Borough,8,102
North Oakland,19,5626
Franklin Park Borough,10,536
Mount Washington,8,848
North Braddock Borough,22,458
Sewickley Borough,19,419
Chartiers City,7,3
Edgewood Borough,12,263
Lower Lawrenceville,12,408
Braddock Borough,17,250
Verona Borough,23,470
Ben Avon Borough,15,471
Wall Borough,16,15
Larimer,14,354
East Carnegie,22,220
Kennedy Township,19,1314
Upper St. Clair Township,15,1329
West Oakland,0,1004
Chartiers City,21,27
Neville Township,10,156
Heidelberg Borough,10,75
Bellevue Borough,21,1808
Chalfant Borough,21,115
Polish Hill,20,127
Castle Shannon Borough,19,897
North Fayette Township,0,1650
Whitaker Borough,9,22
Summer Hill,23,100
Wilkins Township,20,2208
South Versailles Township,16,6
Glen Hazel,6,3
Robinson Township,14,3280
Brentwood Borough,9,658
Bloomfield,21,2006
Brighton Heights,21,1608
Westwood,15,208
Brentwood Borough,13,1563
Braddock Hills Borough,13,156
Swissvale Borough,20,728
Upper St. Clair Township,20,1755
Allegheny Center,13,516
Heidelberg Borough,6,34
Homewood West,8,195
Squirrel Hill South,23,1239
Aspinwall Borough,7,122
West Oakland,15,1137
Franklin Park Borough,13,630
Mount Washington,1,1228
Forward Township,16,81
North Braddock Borough,15,280
O Hara Township,19,1687
Edgewood Borough,11,261
Strip District,6,334
Greenfield,4,94
Dravosburg Borough,19,178
Sharpsburg Borough,15,198
North Shore,5,204
Ben Avon Borough,20,590
Spring Hill-City View,21,486
Larimer,23,190
East Hills,13,298
West Oakland,9,756
Pine Township,20,807
Glassport Borough,18,281
Cheswick Borough,2,6
Spring Hill-City View,7,72
North Versailles Township,23,1840
Stowe Township,2,212
East Liberty,14,1130
Castle Shannon Borough,8,348
North Fayette Township,9,887
Harmar Township,2,117
South Versailles Township,15,2
Glen Hazel,13,37
Robinson Township,23,2365
Outside Pittsburgh,19,2
Bloomfield,14,1193
Shadyside,15,1963
Westwood,22,404
Mount Lebanon,18,2956
Ridgemont,12,110
Ben Avon Heights Borough,21,12
Plum Borough,7,25
Central Oakland,5,393
Indiana Township,7,208
Haysville Borough,22,25
East Allegheny,16,325
St. Clair,8,3
South Shore,2,84
Lincoln Borough,2,193
Aspinwall Borough,14,216
Central Lawrenceville,16,659
Franklin Park Borough,4,84
California-Kirkbride,1,60
